rxn_Class,patentID,rxn_Smiles,reactantSet
3,US04958033,Cc1ccccc1.[CH3:4][c:5]1[cH:6][cH:7][c:8]([o:11]1)[CH:9]=[O:10].C#CCCl.[CH:1]#[C:2][CH2:3]Br.C1CCOC1.[Mg].[Cl-].[Cl-].[Zn+2]>>[CH3:4][c:5]1[cH:6][cH:7][c:8]([o:11]1)[CH:9]([CH2:3][C:2]#[CH:1])[OH:10],"set([1, 3])"
5,US06875765B2,[CH3:22][CH:21]([CH3:20])[Si:13]([CH:14]([CH3:15])[CH3:16])([CH:17]([CH3:18])[CH3:19])Cl.CN(C)c1ccncc1.c1ccncc1.[cH:7]1[cH:8][cH:9][c:10]2[c:5]([cH:6]1)[cH:4][cH:3][c:2]([c:11]2[Br:12])[OH:1].c1cnc[nH]1.C(Cl)Cl.O>>[CH3:22][CH:21]([CH3:20])[Si:13]([CH:14]([CH3:15])[CH3:16])([CH:17]([CH3:18])[CH3:19])[O:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[c:11]1[Br:12],"set([0, 3])"
3,US06010981,B([c:6]1[cH:5][cH:4][c:3]([cH:8][cH:7]1)[S:2][CH3:1])(O)O.CCCCCC.CCOC(=O)C.CC#N.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.[CH3:9][c:10]1[c:11]([cH:15][cH:16][c:17]([c:22]1I)[S:18](=[O:20])(=[O:21])[CH3:19])[C:12](=[O:13])[OH:14].C(=O)([O-])[O-].O.[OH-].[Na+].[K+].[K+]>>[CH3:9][c:10]1[c:11]([cH:15][cH:16][c:17]([c:22]1[c:6]2[cH:5][cH:4][c:3]([cH:8][cH:7]2)[S:2][CH3:1])[S:18](=[O:20])(=[O:21])[CH3:19])[C:12](=[O:13])[OH:14],"set([0, 5])"
7,US08389524B2,[H-].[H-].[H-].[H-].[Li+].CO.c1ccnc(c1)[N+](=O)[O-].c1cc(=O)n2c3c1ccc(=O)n3[C@@H](C2)CN4CCC(CC4)N.[cH:4]1[cH:5][c:6]2[c:7]([n:8][c:3]1[CH:2]=[O:1])[NH:9][CH2:10][CH2:11][S:12]2.c1cc2c(nc1C=O)NC(=O)CS2.C(Cl)Cl.[Al+3].Cl.Cl>>[cH:4]1[cH:5][c:6]2[c:7]([n:8][c:3]1[CH2:2][OH:1])[NH:9][CH2:10][CH2:11][S:12]2,set([8])
4,US20080146645A1,Cc1ccccc1.CC(C)c1ccccc1.CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[cH:7]1[cH:6][c:5]([cH:11][c:9]([cH:8]1)[F:10])[CH:4]=[CH:3][CH2:2][OH:1].O.[OH-].[OH:12][O-].[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Cl-].[Ti+4]>>[cH:7]1[cH:6][c:5]([cH:11][c:9]([cH:8]1)[F:10])[CH:4]2[CH:3]([O:12]2)[CH2:2][OH:1],"set([9, 6])"
8,US08519135B2,[CH3:8][c:7]1[cH:6][c:5]([c:11]([n:10][cH:9]1)[CH:12]([c:14]2[cH:15][c:16]([cH:20][cH:21][c:22]2[Cl:23])[N+:17](=[O:18])[O-:19])[OH:13])[N:4]([CH2:3][O:2][CH3:1])[S:24](=[O:25])(=[O:26])[c:27]3[cH:28][cH:29][c:30]([c:32]([cH:37]3)[C:33]([F:34])([F:35])[F:36])[Cl:31].CC(=O)OI1(c2ccccc2C(=O)O1)(OC(=O)C)OC(=O)C.C(Cl)Cl.C(=O)(O)[O-].[O-]S(=O)(=S)[O-].[Na+].[Na+].[Na+]>>[CH3:8][c:7]1[cH:6][c:5]([c:11]([n:10][cH:9]1)[C:12](=[O:13])[c:14]2[cH:15][c:16]([cH:20][cH:21][c:22]2[Cl:23])[N+:17](=[O:18])[O-:19])[N:4]([CH2:3][O:2][CH3:1])[S:24](=[O:25])(=[O:26])[c:27]3[cH:28][cH:29][c:30]([c:32]([cH:37]3)[C:33]([F:34])([F:35])[F:36])[Cl:31],set([0])
4,US07615569B2,CCOC(=O)C.CC(=O)[O-].CN(C)C=O.[cH:5]1[cH:6][c:7]([cH:17][cH:18][c:4]1[C:2](=[NH:1])[NH2:3])[S:8](=[O:9])(=[O:10])[NH:11][c:12]2[n:13][cH:14][cH:15][s:16]2.[cH:23]1[cH:24][c:25]([c:27]([cH:29][c:22]1[CH2:21][C:19](=O)[CH2:20]Br)[Cl:28])[Cl:26].[NH4+].[NH4+].[OH-].[Na+].[Cl-]>>[cH:5]1[cH:6][c:7]([cH:17][cH:18][c:4]1[c:2]2[nH:1][cH:20][c:19]([n:3]2)[CH2:21][c:22]3[cH:23][cH:24][c:25]([c:27]([cH:29]3)[Cl:28])[Cl:26])[S:8](=[O:9])(=[O:10])[NH:11][c:12]4[n:13][cH:14][cH:15][s:16]4,"set([3, 4])"
9,US07329664B2,CCOC(=O)C.CN(C=O)C.[C-:11]#[N:12].[C-:11]#[N:12].c1ccc(cc1)/C=C/C(=O)/C=C/c2ccccc2.c1ccc(cc1)/C=C/C(=O)/C=C/c2ccccc2.c1ccc(cc1)/C=C/C(=O)/C=C/c2ccccc2.c1ccc(cc1)P(c2ccccc2)[c-]3cccc3.c1ccc(cc1)P(c2ccccc2)[c-]3cccc3.[cH:7]1[cH:8][n:9][c:10]([c:5]([cH:6]1)[C:2]([F:1])([F:3])[F:4])Cl.[NH4+].[NH4+].O.[OH-].[Cl-].[Fe+2].[Zn+2].[Pd].[Pd]>>[cH:7]1[cH:8][n:9][c:10]([c:5]([cH:6]1)[C:2]([F:1])([F:3])[F:4])[C:11]#[N:12],"set([9, 2, 3])"
2,US06335444B1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10](=[O:11])OC(=O)CCCCCCCCC.CCN(CC)CC.CCOC(=O)C.CO.[cH:26]1[cH:25][cH:24][c:23]([cH:28][cH:27]1)[C@@H:21]([C@H:13]([CH2:14][N:15]2[CH2:16][CH2:17][O:18][CH2:19][CH2:20]2)[NH2:12])[OH:22].C1CCOC1.C(Cl)(Cl)Cl.C(=O)(O)[O-].[Na+]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10](=[O:11])[NH:12][C@@H:13]([CH2:14][N:15]1[CH2:16][CH2:17][O:18][CH2:19][CH2:20]1)[C@H:21]([c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[OH:22],"set([0, 4])"
3,US06225288B1,CCN(CC)CC.[CH3:7][CH2:8][O:9][c:10]1[cH:11][cH:12][c:13]([cH:14][c:15]1[CH3:16])I.CCI.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.Cc1cc(ccc1O)I.CC(=O)C.CN(C)C=O.[CH3:6][O:5][C:3](=[O:4])[CH:2]=[CH2:1].C(=O)([O-])[O-].[K+].[K+]>>[CH3:7][CH2:8][O:9][c:10]1[cH:11][cH:12][c:13]([cH:14][c:15]1[CH3:16])/[CH:1]=[CH:2]/[C:3](=[O:4])[O:5][CH3:6],"set([1, 7])"
9,US20150005293A1,CCOC(=O)C.[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8]([n:15][c:16]1N)[c:9]2[n:10][cH:11][cH:12][cH:13][n:14]2.C(Cl)Cl.C(Cl)(Cl)Cl.N(=O)[O-].O.[Na+].Cl.[Cl:17][Cu]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8]([n:15][c:16]1[Cl:17])[c:9]2[n:10][cH:11][cH:12][cH:13][n:14]2,"set([8, 1])"
5,US20080207685A1,CCN(CC)CC.CCOC(=O)C.CN(C)c1ccncc1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([c:8]2[c:9]1[CH2:10][NH:11][CH2:12]2)[Br:7].C(=O)(C(F)(F)F)O[C:13](=[O:14])[C:15]([F:16])([F:17])[F:18].Cl>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([c:8]2[c:9]1[CH2:10][N:11]([CH2:12]2)[C:13](=[O:14])[C:15]([F:16])([F:17])[F:18])[Br:7],"set([3, 4])"
